"","site_name","transect","species","family","size_cm","abundance","fg","fishing_ground","size_5cm_bin"
"129","Beropa",1,"parupeneus crassilabris","Mullidae",20,1,"Macro-invertivore","kaledupa","20-25"
"130","Beropa",1,"siganus vulpinus","Siganidae",16,2,"Grazer","kaledupa","15-20"
"131","Beropa",1,"thalassoma lunare","Labridae",15,2,"Micro-invertivore","kaledupa","15-20"
"132","Beropa",1,"thalassoma lunare","Labridae",15,1,"Micro-invertivore","kaledupa","15-20"
"133","Beropa",1,"thalassoma spp.","Labridae",13,20,"Micro-invertivore","kaledupa","10-15"
"134","Beropa",1,"zebrasoma scopas","Acanthuridae",11,1,"Grazer","kaledupa","10-15"
"135","Beropa",1,"zebrasoma scopas","Acanthuridae",11,1,"Grazer","kaledupa","10-15"
"136","Beropa",2,"acanthurus pyroferus","Acanthuridae",16,2,"Grazer","kaledupa","15-20"
"137","Beropa",2,"bodianus mesothorax","Labridae",19,1,"Micro-invertivore","kaledupa","15-20"
"138","Beropa",2,"ctenochaetus striatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"139","Beropa",2,"ctenochaetus striatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"140","Beropa",2,"ctenochaetus striatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"141","Beropa",2,"ctenochaetus striatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"142","Beropa",2,"epibulus brevis","Labridae",11,1,"Pisci-invertivore","kaledupa","10-15"
"143","Beropa",2,"forcipiger flavissimus","Chaetodontidae",15,1,"Micro-invertivore","kaledupa","15-20"
"144","Beropa",2,"halichoeres hortulanus","Labridae",16,1,"Micro-invertivore","kaledupa","15-20"
"145","Beropa",2,"hemigymnus fasciatus","Labridae",16,1,"Macro-invertivore","kaledupa","15-20"
"146","Beropa",2,"hemigymnus melapterus","Labridae",13,1,"Macro-invertivore","kaledupa","10-15"
"147","Beropa",2,"hemigymnus melapterus","Labridae",19,1,"Macro-invertivore","kaledupa","15-20"
"148","Beropa",2,"lutjanus biguttatus","Lutjanidae",25,1,"Pisci-invertivore","kaledupa","25-30"
"149","Beropa",2,"melichthys vidua","Balistidae",15,1,"Planktivore","kaledupa","15-20"
"150","Beropa",2,"melichthys vidua","Balistidae",15,1,"Planktivore","kaledupa","15-20"
"151","Beropa",2,"naso vlamingii","Acanthuridae",27,1,"Planktivore","kaledupa","25-30"
"152","Beropa",2,"naso vlamingii","Acanthuridae",23,3,"Planktivore","kaledupa","20-25"
"153","Beropa",2,"thalassoma hardwicke","Labridae",11,1,"Micro-invertivore","kaledupa","10-15"
"154","Beropa",2,"thalassoma hardwicke","Labridae",11,1,"Micro-invertivore","kaledupa","10-15"
"155","Beropa",2,"thalassoma lunare","Labridae",15,1,"Micro-invertivore","kaledupa","15-20"
"156","Beropa",2,"thalassoma lunare","Labridae",15,1,"Micro-invertivore","kaledupa","15-20"
"157","Beropa",2,"thalassoma lunare","Labridae",15,1,"Micro-invertivore","kaledupa","15-20"
"158","Beropa",2,"thalassoma spp.","Labridae",14,10,"Micro-invertivore","kaledupa","10-15"
"159","Beropa",2,"zanclus cornutus","Zanclidae",10,1,"Micro-invertivore","kaledupa","10-15"
"160","Beropa",2,"zebrasoma scopas","Acanthuridae",11,1,"Grazer","kaledupa","10-15"
"161","Beropa",3,"acanthurus pyroferus","Acanthuridae",16,2,"Grazer","kaledupa","15-20"
"162","Beropa",3,"cephalopholis leopardus","Serranidae",19,1,"Pisci-invertivore","kaledupa","15-20"
"163","Beropa",2,"cheilinus fasciatus","Labridae",13,1,"Macro-invertivore","kaledupa","10-15"
"164","Beropa",2,"ctenochaetus binotatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"165","Beropa",2,"ctenochaetus binotatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"166","Beropa",2,"ctenochaetus binotatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"167","Beropa",2,"ctenochaetus striatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"168","Beropa",3,"forcipiger flavissimus","Chaetodontidae",15,1,"Micro-invertivore","kaledupa","15-20"
"169","Beropa",3,"halichoeres hortulanus","Labridae",14,1,"Micro-invertivore","kaledupa","10-15"
"170","Beropa",3,"hemigymnus fasciatus","Labridae",17,1,"Macro-invertivore","kaledupa","15-20"
"171","Beropa",3,"lutjanus biguttatus","Lutjanidae",22,5,"Pisci-invertivore","kaledupa","20-25"
"172","Beropa",3,"macolor macularis","Lutjanidae",32,1,"Pisci-invertivore","kaledupa","30-35"
"173","Beropa",3,"naso vlamingii","Acanthuridae",24,20,"Planktivore","kaledupa","20-25"
"174","Beropa",3,"parupeneus crassilabris","Mullidae",21,1,"Macro-invertivore","kaledupa","20-25"
"175","Beropa",3,"parupeneus crassilabris","Mullidae",24,1,"Macro-invertivore","kaledupa","20-25"
"176","Beropa",3,"siganus spp.","Siganidae",20,2,"Grazer","kaledupa","20-25"
"177","Beropa",3,"zebrasoma scopas","Acanthuridae",11,3,"Grazer","kaledupa","10-15"
"178","Beropa",3,"zebrasoma scopas","Acanthuridae",11,2,"Grazer","kaledupa","10-15"
"179","Beropa",3,"scarus dimidiatus","Scarini-Labridae",15,1,"Excavator/scraper","kaledupa","15-20"
"180","Beropa",3,"scarus flavipectoralis","Scarini-Labridae",13,1,"Excavator/scraper","kaledupa","10-15"
"181","Beropa",3,"scarus niger","Scarini-Labridae",14,1,"Excavator/scraper","kaledupa","10-15"
"182","Beropa",3,"ctenochaetus binotatus","Acanthuridae",10,2,"Detritivore","kaledupa","10-15"
"183","Beropa",3,"ctenochaetus binotatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"184","Beropa",3,"ctenochaetus striatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"185","Beropa",3,"epibulus brevis","Labridae",11,1,"Pisci-invertivore","kaledupa","10-15"
"186","Beropa",3,"epibulus brevis","Labridae",11,1,"Pisci-invertivore","kaledupa","10-15"
"187","Beropa",3,"forcipiger flavissimus","Chaetodontidae",15,4,"Micro-invertivore","kaledupa","15-20"
"188","Beropa",1,"acanthurus pyroferus","Acanthuridae",16,1,"Grazer","kaledupa","15-20"
"189","Beropa",1,"balistapus undulatus","Balistidae",14,1,"Macro-invertivore","kaledupa","10-15"
"190","Beropa",1,"balistapus undulatus","Balistidae",14,1,"Macro-invertivore","kaledupa","10-15"
"191","Beropa",1,"balistapus undulatus","Balistidae",14,1,"Macro-invertivore","kaledupa","10-15"
"192","Beropa",1,"cephalopholis leopardus","Serranidae",18,1,"Pisci-invertivore","kaledupa","15-20"
"193","Beropa",1,"cheilinus fasciatus","Labridae",25,1,"Macro-invertivore","kaledupa","25-30"
